Place_ID,Long,Lat,Nights.active,Excluded?,Notes
117,51.56874,-0.16319,33,,combined: 117a is MDV5 and bella excluded 117b but keeping it in here because there are three hogs (which bella kept but included as a trap rate for 117a)
118,51.56874625,-0.161081199,5,Yes,combined: both lost data only re-tagged with hogs
119,51.57006,-0.18014,35,,combined: 119b lost data but only re-tagged with hogs (no contacts)
120,51.57006,-0.17802,10,Yes,combined: 120a lost data only re-tagged with hogs (no contacts) but 120b was excluded
121,51.5696048,-0.171432,37,,combined: 121 was MDV5 and bella's 121c (our 121b) excluded
122,51.5699799,-0.1703089,29,,
123,51.5699799,-0.1703089,26,,bella has a 123a and a 123b? But I think we just tagged 123a (need to check)
124,51.57006256,-0.165317647,9,,
125,51.5697976,-0.1629294,20,,
126,51.5703065,-0.1606134,21,,
127,51.57006,-0.15895,21,,
128,51.57137,-0.18226,21,Yes,
129,51.57137,-0.18014,21,,
130,51.57137888,-0.171672318,13,,combined: 130b excluded
131,51.571433,-0.1695062,21,,
132,51.5718852,-0.1671858,10,,
133,51.5712542,-0.1657639,21,,
134,51.5713765,-0.1618753,40,,combined
135,51.57137888,-0.161081199,33,,combined
136,51.5722,-0.1849,12,,combined: 136b excluded
137,51.57269,-0.18226,21,,
138,51.57269,-0.18226,19,,"combined: 138b was excluded from bella's but the dates were swapped between both, so keeping both in"
139,51.572707,-0.1675777,21,,
140,51.5726848,-0.165448,21,,
141,51.5725533,-0.1629496,21,,
142,51.57256,-0.16108,21,,
143,51.5735546,-0.1862576,21,,
144,51.574,-0.1843,21,Yes,Only Hogs
145,51.5749,-0.1877,21,,
146,51.5757606,-0.1846537,21,,
147,51.5768,-0.1885,11,Partially (only affects nights active),combined: 147b partially excluded by bella
148,51.5767778,-0.1844793,15,Partially (only affects nights active),combined: 148b partially excluded by bella
149,51.5764692,-0.1862298,9,,combined
150,51.5783,-0.1846,38,Yes,150a excluded from bella's and 150b not tagged by us (garden cam)
